year,co2
1800,282.9
1801,283.0
1802,283.1
1803,283.20000000000005
1804,283.30000000000007
1805,283.4
1806,283.47999999999996
1807,283.55999999999995
1808,283.63999999999993
1809,283.7199999999999
1810,283.8
1811,282.6666666666667
1812,281.53333333333336
1813,280.4
1814,282.2
1815,284.0
1816,283.8
1817,283.9
1818,284.0
1819,284.1
1820,284.2
1821,284.21999999999997
1822,284.23999999999995
1823,284.25999999999993
1824,284.2799999999999
1825,284.3
1826,284.32
1827,284.34
1828,284.35999999999996
1829,284.37999999999994
1830,284.4
1831,284.35
1832,284.3
1833,284.1
1834,284.0
1835,284.325
1836,283.7
1837,283.5
1838,283.4
1839,283.25
1840,284.3
1841,283.4
1842,283.5
1843,285.5
1844,283.7
1845,284.575
1846,284.1
1847,285.5
1848,284.4
1849,284.6
1850,285.075
1851,284.9
1852,285.0
1853,285.1
1854,286.75
1855,285.625
1856,285.6
1857,285.7
1858,285.9
1859,286.1
1860,286.275
1861,286.4
1862,286.5
1863,286.6
1864,286.8
1865,287.125
1866,287.0
1867,287.1
1868,287.2
1869,288.35
1870,288.025
1871,287.7
1872,287.9
1873,288.1
1874,288.95
1875,289.225
1876,289.0
1877,289.4
1878,290.05
1879,290.2
1880,290.775
1881,291.2
1882,291.7
1883,292.1
1884,292.6
1885,292.475
1886,293.3
1887,292.95
1888,293.8
1889,294.0
1890,293.825
1891,294.3
1892,294.5
1893,294.6
1894,294.7
1895,295.1
1896,294.9
1897,295.0
1898,295.2
1899,295.65
1900,296.475
1901,296.1
1902,296.5
1903,295.8
1904,297.2
1905,297.725
1906,298.1
1907,298.5
1908,298.9
1909,299.25
1910,299.85
1911,300.1
1912,300.4
1913,300.8
1914,301.1
1915,301.225
1916,301.7
1917,302.1
1918,302.4
1919,302.7
1920,303.15
1921,302.5
1922,303.8
1923,304.1
1924,304.5
1925,304.925
1926,305.4
1927,305.65
1928,306.3
1929,306.8
1930,306.675
1931,307.7
1932,308.2
1933,308.6
1934,309.0
1935,308.0
1936,309.8
1937,310.0
1938,310.2
1939,310.3
1940,309.575
1941,310.4
1942,310.3
1943,309.05
1944,310.1
1945,310.4
1946,310.1
1947,310.2
1948,310.3
1949,310.5
1950,311.675
1951,311.1
1952,311.5
1953,312.3
1954,312.4
1955,313.825
1956,313.6
1957,314.2
1958,315.187
1959,315.844236111111
1960,316.803144654088
1961,317.425673076923
1962,318.224618055556
1963,318.787278911565
1964,319.312849462366
1965,320.185576923077
1966,321.182176870748
1967,322.0448
1968,322.96407051282
1969,324.346794871795
1970,325.205961538462
1971,326.146057692308
1972,327.270754716981
1973,329.120801282051
1974,330.465209396154
1975,330.783443735897
1976,331.744419931863
1977,333.221706478302
1978,334.784072774359
1979,336.926798264103
1980,338.578237183654
1981,339.9547916625
1982,341.209855769231
1983,342.738461625472
1984,344.395208325
1985,345.777193627451
1986,347.122139423077
1987,348.774615384615
1988,351.215530660377
1989,352.778629820192
1990,353.996681098077
1991,355.327027239423
1992,355.943298076923
1993,356.996282056044
1994,358.644428342049
1995,360.65392627967
1996,362.318928578571
1997,363.481007323626
1998,366.241149262638
1999,368.133147896154
2000,369.35427785027
2001,370.700299148077
2002,372.697528650641
2003,375.198197282245
2004,376.929003208462
2005,379.105028904898
2006,381.20916667
2007,383.334914215686
2008,385.253629807692
2009,386.918910248077
2010,389.282464305769
2011,391.174579398349
2012,393.3335875
2013,396.041858982692
2014,398.056410260577
2015,400.882067307692
2016,404.308867924528
2017,406.63375
2018,408.624903846154
2019,411.53875
2020,413.603618879246
2021,416.3275943098
