Year,land_anomaly_temperature,ocean_anomaly_temperature,GMSL
1880,-1.135555,-0.079887,-158.725
1881,-0.934326,-0.172587,-153.05833333333334
1882,-0.935357,-0.022287,-169.88333333333333
1883,-1.404107,0.025007,-164.59166666666667
1884,-1.412378,-0.195032,-143.75
1885,-1.088681,-0.335914,-145.24166666666667
1886,-1.092388,-0.133175,-147.57500000000002
1887,-0.955098,-0.207188,-153.20000000000002
1888,-0.959361,-0.080141,-151.07500000000002
1889,-0.856887,-0.076162,-149.5
1890,-0.931372,-0.246997,-147.525
1891,-1.042194,-0.225201,-149.18333333333334
1892,-1.122767,-0.187238,-146.04166666666666
1893,-1.143585,-0.384381,-141.29999999999998
1894,-0.849108,-0.24869,-150.98333333333332
1895,-1.013451,-0.323738,-139.18333333333334
1896,-0.96624,-0.170968,-146.81666666666666
1897,-0.959062,-0.314347,-141.60833333333332
1898,-0.887714,-0.17288,-132.21666666666667
1899,-0.606857,-0.081798,-124.74166666666667
1900,-0.629451,-0.163137,-130.1
1901,-0.49132,-0.261751,-130.53333333333333
1902,-0.815687,-0.482842,-125.91666666666669
1903,-0.941017,-0.75587,-117.85
1904,-0.917291,-0.825922,-128.15833333333333
1905,-0.944143,-0.621414,-133.73333333333332
1906,-0.652293,-0.445596,-126.88333333333333
1907,-1.283022,-0.516021,-128.275
1908,-0.988807,-0.70719,-130.79166666666666
1909,-0.927048,-0.579559,-126.30833333333334
1910,-0.781677,-0.508843,-126.41666666666669
1911,-0.977649,-0.546461,-118.05833333333334
1912,-1.288835,-0.645823,-121.16666666666669
1913,-0.826759,-0.598855,-119.39166666666668
1914,-0.468765,-0.456346,-113.05
1915,-0.539122,-0.309283,-105.18333333333334
1916,-0.951217,-0.263471,-107.11666666666667
1917,-1.04798,-0.171651,-111.63333333333333
1918,-0.815139,-0.3203,-113.21666666666664
1919,-0.920306,-0.352143,-111.59166666666664
1920,-0.812873,-0.226628,-110.25
1921,-0.307873,-0.099279,-108.23333333333332
1922,-0.688142,-0.266609,-109.125
1923,-0.663956,-0.245205,-107.94166666666666
1924,-0.753286,-0.224351,-115.23333333333332
1925,-0.292667,-0.166529,-113.19166666666666
1926,-0.501492,-0.205749,-106.69166666666666
1927,-0.660539,-0.139649,-107.75833333333333
1928,-0.715741,-0.239399,-111.65
1929,-1.229707,-0.283515,-110.28333333333336
1930,-0.514897,-0.069437,-106.31666666666666
1931,-0.539624,-0.224976,-106.7
1932,-0.391776,-0.150991,-101.03333333333336
1933,-0.937878,-0.059771,-96.69166666666666
1934,-0.462021,-0.055823,-102.04166666666669
1935,-0.662822,-0.114478,-96.46666666666664
1936,-0.679915,-0.068712,-100.39166666666668
1937,-0.633521,0.108304,-94.69166666666666
1938,-0.119144,-0.006607,-92.075
1939,-0.114246,-0.05383,-86.875
1940,-0.434199,-0.18292,-92.19166666666666
1941,-0.410016,-0.177504,-79.99166666666666
1942,-0.543151,0.011508,-80.05
1943,-0.337068,0.047575,-80.0
1944,-0.25105,0.288876,-86.44166666666666
1945,-0.684292,0.222352,-83.63333333333334
1946,-0.246463,-0.091919,-76.10833333333333
1947,-0.454309,-0.220462,-72.94166666666666
1948,-0.167506,-0.027306,-68.21666666666667
1949,-0.445137,0.142453,-69.5
1950,-0.850148,0.128671,-67.3
1951,-0.512958,0.188611,-57.833333333333336
1952,-0.461745,0.162811,-60.38333333333333
1953,-0.088674,0.013631,-55.96666666666667
1954,-0.679479,-0.051364,-58.93333333333334
1955,-0.32282,0.169986,-57.975
1956,-0.941059,0.037955,-63.11666666666667
1957,-0.520434,0.075121,-49.68333333333334
1958,-0.205798,0.022812,-48.30833333333334
1959,-0.40663,0.026151,-48.01666666666667
1960,-0.473664,-0.019073,-44.26666666666667
1961,-0.045997,0.133057,-38.09166666666667
1962,-0.154017,0.12533,-43.31666666666666
1963,-0.04805,0.058494,-44.925
1964,-0.637324,-0.160565,-52.825
1965,-0.554106,-0.213115,-41.54166666666666
1966,-0.375241,-0.095713,-46.96666666666667
1967,-0.403639,0.094311,-45.60833333333333
1968,-0.477578,-0.091251,-44.80833333333334
1969,-1.052237,-0.254959,-38.0
1970,-0.485669,-0.182319,-39.94166666666667
1971,-0.230183,-0.218192,-34.725
1972,-0.87017,-0.255819,-25.59166666666667
1973,-0.037619,-0.139261,-31.59166666666667
1974,-0.546111,-0.235976,-19.716666666666665
1975,-0.035843,-0.098296,-21.275
1976,-0.77055,-0.356529,-22.35
1977,-0.097771,-0.109654,-23.96666666666667
1978,-0.347916,-0.153721,-17.566666666666666
1979,-0.261111,-0.029551,-22.53333333333333
1980,-0.279173,-0.204239,-16.525000000000002
1981,0.336423,-0.060669,-4.075
1982,-0.250226,-0.18255,-9.858333333333333
1983,0.231368,-0.14176,-1.4666666666666668
1984,-0.514823,-0.085675,-2.391666666666667
1985,-0.546653,-0.217201,-12.683333333333332
1986,-0.077878,-0.170678,-12.058333333333332
1987,-0.035845,-0.243428,-11.458333333333334
1988,0.225838,-0.06214,-6.758333333333333
1989,0.205366,0.180194,-2.316666666666667
1990,0.566296,0.257158,0.0083333333333331
1991,0.196798,0.133443,2.5083333333333333
1992,-0.04458,-0.105883,3.1666666666666665
1993,-0.293442,-0.160132,1.4166666666666667
1994,0.266248,0.202254,6.575
1995,0.546514,0.131863,9.525
1996,-0.334644,0.083672,13.666666666666666
1997,0.367626,0.207081,20.558333333333334
1998,0.826071,0.384311,10.666666666666666
1999,0.864013,0.359751,19.225
2000,0.489337,0.372886,20.48333333333333
2001,0.787224,0.303358,25.98333333333333
2002,0.741362,0.256995,28.35833333333333
2003,0.524774,0.324308,37.60833333333333
2004,0.67158,0.449466,37.18333333333333
2005,0.691853,0.517724,37.29166666666666
2006,0.873032,0.429863,41.56666666666667
2007,1.065011,0.334568,43.48333333333333
2008,0.725174,0.471322,52.2
2009,0.430452,0.372037,58.01666666666667
2010,0.767883,0.395272,65.75
2011,0.566945,0.448182,67.3
2012,0.714572,0.533333,76.08333333333333
2013,0.728048,0.554009,67.72500000000001
